17	-5	-6	373.942	1595.918
17	8	1	305.606	1789.914
34	-3	-5	362.625	1568.946
29	2	-7	391.355	1612.5
9	-2	-4	396.295	1617.113
19	4	-8	402.336	1665.562
32	-7	-13	391.631	1606.864
10	1	0	335.167	1657.414
13	1	-8	422.954	1657.394
59	17	-10	365.037	1700.023
17	5	3	289.897	1765.894
6	3	2	243.137	1811.865
43	-2	-5	357.914	1585.295
16	9	5	245.99	1818.121
15	3	-4	387.161	1643.394
31	6	-1	347.674	1695.29
25	7	1	329.501	1742.134
37	4	-26	425.282	1654.972
12	1	-6	416.747	1656.712
59	14	11	285.177	1750.237
17	2	-3	379.315	1631.887
31	16	7	268.707	1815.454
21	6	-5	375.018	1672.117
30	-7	-15	400.27	1631.086
19	6	-1	343.229	1739.485
15	-5	-7	381.56	1631
15	4	-3	371.656	1680.395
21	-6	-13	405.272	1647.344
13	0	-1	352.917	1596.099
15	-3	-10	421.371	1638.977
29	2	1	323.63	1649.838
29	11	-1	332.539	1759.578
33	14	13	227.674	1793.798
14	5	2	299.842	1776.778
31	11	-6	362.011	1712.279
25	18	17	146.154	1756.377
10	7	5	191.668	1797.48
31	16	4	287.727	1809.765
41	26	17	217.2	1810.388
39	-17	-18	362.249	1626.327
26	8	5	285.518	1769.319
29	24	21	134.151	1743.161
9	4	2	275.516	1803.464
4	1	1	265.618	1752.568
3	1	1	243.185	1778.477
2	-1	-1	354.381	1630.573
2	1	0	314.522	1777.005
1	0	0	328.266	1592.109
5	-1	-4	432.56	1630.324
3	-1	-2	404.052	1649.101
3	1	-1	383.593	1640.897
2	1	1	197.233	1787.312
5	-2	-3	385.702	1648.556
5	2	2	225.22	1788.257
7	1	-5	424.441	1657.525
11	2	-7	419.563	1668.165
7	2	-3	398.022	1663.913
11	-4	-7	395.973	1649.944
10	1	1	305.744	1682.586
13	4	-5	391.836	1655.083
5	3	1	267.327	1821.515
11	-1	-10	423.893	1618.852
7	-2	-2	364.229	1569.78
13	-2	-11	432.25	1624.76
17	-1	-4	383.004	1572.925
7	4	4	176.388	1778.472
10	1	-8	407.135	1660.587
7	6	5	135.86	1745.328
6	1	-1	376.98	1642.987
7	3	-1	347.03	1744.198
9	-4	-5	372.314	1642.873
14	-1	-1	343.141	1577.262
9	-2	-7	425.935	1638.386
10	1	-2	384.056	1625.755
11	4	-3	373.061	1680.143
13	7	1	296.406	1801.952
19	10	1	302.131	1795.281
8	3	-2	368.861	1693.27
11	6	1	293.06	1805.385
17	-4	-13	422.177	1642.478
8	-1	-4	412.025	1613.712
14	5	5	236.826	1782.958
16	1	1	314.983	1653.086
17	-1	-16	410.28	1622.88
9	8	7	121.051	1728.413
17	14	11	152.282	1762.385
10	1	-5	415.734	1660.088
25	1	-2	355.347	1611.032
5	-1	-3	412.218	1640.584
11	5	5	210.263	1790.23
6	-1	-1	357.682	1537.225
6	-1	-2	389.11	1575.064
19	1	-5	394.794	1604.007
19	16	13	143.125	1753.077
13	4	4	250.179	1772.473
23	8	-1	337.803	1750.691
26	5	-13	410.162	1671.986
5	0	-2	410.68	1624.652
3	0	-1	403.791	1611.301
11	10	9	112.018	1717.328
25	16	7	247.572	1821.68
8	2	-1	363.462	1697.112
31	-5	-8	376.739	1553.905
7	-1	-3	403.667	1600.861
8	1	-3	404.856	1649.255
11	-2	-3	377.773	1551.447
11	0	-5	415.027	1632.815
29	20	11	222.552	1814.023
11	2	-4	399.101	1654.058
17	2	-1	351.361	1653.102
9	1	-1	364.232	1632.013
9	2	-2	380.359	1650.003
10	4	1	305.49	1782.96
11	5	2	283.457	1804.4
7	1	-4	417.699	1667.847
14	3	-3	380.209	1649.197
43	-8	-11	374.236	1544.014
9	0	-1	361.268	1597.077
10	-1	-3	390.282	1584.997
20	5	-7	392.191	1652.535
47	-4	-13	388.469	1580.958
11	3	-3	380.922	1650.936
17	0	-5	397.864	1601
19	7	4	281.305	1786.424
17	-1	-8	413.104	1625.864
23	5	-10	403.1	1667.524
9	0	-7	429.98	1623.364
4	-1	-2	397.937	1632.26
32	7	-15	406.047	1670.879
11	4	3	262.607	1787.999
8	-2	-3	384.309	1599.223
23	22	21	92.045	1690.667
15	-4	-5	375.336	1587.276
19	4	1	324.406	1723.678
24	1	-1	343.122	1611.06
13	-1	-6	411.52	1621.12
17	5	-1	346.867	1731.21
23	8	7	252.592	1783.809
8	1	0	336.416	1670.977
22	7	1	325.913	1755.403
23	-1	-4	372.091	1583.292
24	9	5	280.091	1789.558
15	2	-5	400.455	1641.18
24	-9	-13	381.401	1645.773
15	5	1	315.583	1767.797
25	7	4	294.566	1761.458
74	-19	-43	404	1644.607
29	14	11	232.449	1804.224
7	-2	-4	399.352	1645.594
10	1	-7	425.393	1654.212
43	7	-14	397.015	1643.267
21	5	-8	396.415	1658.968
17	1	-3	378.437	1616.046
12	7	3	257.915	1821.53
11	6	4	235.629	1811.529
26	3	1	325.124	1677.708
53	5	-10	381.683	1625.305
14	-1	-10	430.526	1617.597
17	11	8	202.242	1801.973
41	23	20	199.845	1795.733
